district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,08/29/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,08/28/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,DAKSINKALI,08/28/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,08/28/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,08/28/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Morang,Kosi,Terai,EARTHQUAKE,Eastern Region,Biratnagar Municipality,08/29/88,Gorkhapatra 1988-9-4 Yr-88No-122,1.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Lalitpur,Bagmati,Hill,EXPLOSION,Central Region,Lalitpur Municipality,09/03/88,Gorkhapatra 1988-9-4 Yr-88No-122,1.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATUNJE,09/05/88,Gorkhapatra 1988-9-6 Yr-88No-124,1.0,0,2,0,1,0,0,0,0,0,0,50000.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,EPIDEMIC,Central Region,Ankar,09/05/88,Gorkhapatra 1988-9-6 Yr-88No-124,1.0,3,54,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Gulmi,Lumbini,Hill,EPIDEMIC,Western Region,APCHAUR,09/05/88,Gorkhapatra 1988-9-6 Yr-88No-124,1.0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Sarlahi,Janakpur,Terai,EPIDEMIC,Central Region,BHAKTIPUR,09/06/88,Gorkhapatra 1988-9-7 Yr-88No-125,1.0,4,45,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,EPIDEMIC,Central Region,ISHWORPUR,09/06/88,Gorkhapatra 1988-9-7 Yr-88No-125,1.0,0,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,FIRE,Central Region,Lalitpur Municipality,09/07/88,Gorkhapatra 1988-9-8 Yr-88No-126,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Rupandehi,Lumbini,Terai,EPIDEMIC,Western Region,,09/07/88,Gorkhapatra 1988-9-8 Yr-88No-126,1.0,0,120,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Rupandehi,Lumbini,Terai,EPIDEMIC,Western Region,BUTAWAL_NP,09/07/88,Gorkhapatra 1988-9-8 Yr-88No-126,1.0,0,100,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Palpa,Lumbini,Hill,EPIDEMIC,Western Region,,09/07/88,Gorkhapatra 1988-9-8 Yr-88No-126,1.0,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Nawalparasi,Lumbini,Terai,EPIDEMIC,Western Region,,09/07/88,Gorkhapatra 1988-9-8 Yr-88No-126,1.0,0,120,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
