Epicentre,Zone,Geographical Region,Development Region,Date,Category,Value
Humla,Karnali,Mountain,Mid-Western,10/1/2011,Magnitude (ml),4.7
Humla,Karnali,Mountain,Mid-Western,1/19/2012,Magnitude (ml),4.6
Humla,Karnali,Mountain,Mid-Western,9/22/2013,Magnitude (ml),4.4
India (Close Darchula),,,,7/28/2012,Latitude,30.12
India (Close Darchula),,,,7/28/2012,Longitude,80.54
India (Close Darchula),,,,7/28/2012,Magnitude (ml),5.0
Jajarkot,Bheri,Hill,Mid-Western,11/22/2009,Latitude,29.02
Jajarkot,Bheri,Hill,Mid-Western,11/22/2009,Longitude,82.15
Jajarkot,Bheri,Hill,Mid-Western,11/22/2009,Magnitude (ml),4.5
Jhapa India Border Region,,,,3/27/2012,Latitude,26.12
Jhapa India Border Region,,,,3/27/2012,Longitude,87.87
Jhapa India Border Region,,,,3/27/2012,Magnitude (ml),5.2
Karkigaun-Jajorkot,,,,3/19/2012,Latitude,28.7
Karkigaun-Jajorkot,,,,3/19/2012,Longitude,82.02
Karkigaun-Jajorkot,,,,3/19/2012,Magnitude (ml),4.7
Kaski,Gandaki,Hill,Western,1/18/2010,Latitude,28.37
Kaski,Gandaki,Hill,Western,3/11/2011,Latitude,28.31
Kaski,Gandaki,Hill,Western,3/12/2011,Latitude,28.31
Kaski,Gandaki,Hill,Western,3/22/2011,Latitude,28.35
Kaski,Gandaki,Hill,Western,8/22/2011,Latitude,28.29
Kaski,Gandaki,Hill,Western,6/9/2012,Latitude,28.32
Kaski,Gandaki,Hill,Western,1/18/2010,Longitude,83.97
Kaski,Gandaki,Hill,Western,3/11/2011,Longitude,83.8
Kaski,Gandaki,Hill,Western,3/12/2011,Longitude,83.78
Kaski,Gandaki,Hill,Western,3/22/2011,Longitude,83.96
Kaski,Gandaki,Hill,Western,8/22/2011,Longitude,83.96
Kaski,Gandaki,Hill,Western,6/9/2012,Longitude,84.17
Kaski,Gandaki,Hill,Western,1/18/2010,Magnitude (ml),4.1
Kaski,Gandaki,Hill,Western,3/11/2011,Magnitude (ml),4.3
Kaski,Gandaki,Hill,Western,3/12/2011,Magnitude (ml),4.4
Kaski,Gandaki,Hill,Western,3/22/2011,Magnitude (ml),4.0
Kaski,Gandaki,Hill,Western,8/22/2011,Magnitude (ml),4.0
Kaski,Gandaki,Hill,Western,6/9/2012,Magnitude (ml),5.1
Khotang,Sagarmatha,Hill,Eastern,7/29/2011,Latitude,27.19
Khotang,Sagarmatha,Hill,Eastern,8/2/2011,Latitude,27.35
Khotang,Sagarmatha,Hill,Eastern,7/29/2011,Longitude,86.76
Khotang,Sagarmatha,Hill,Eastern,8/2/2011,Longitude,86.35
Khotang,Sagarmatha,Hill,Eastern,7/29/2011,Magnitude (ml),4.2
Khotang,Sagarmatha,Hill,Eastern,8/2/2011,Magnitude (ml),4.0
Lamjung,Gandaki,Hill,Western,12/23/2008,Latitude,28.19
Lamjung,Gandaki,Hill,Western,3/12/2009,Latitude,28.43
Lamjung,Gandaki,Hill,Western,4/13/2009,Latitude,28.25
Lamjung,Gandaki,Hill,Western,4/13/2009,Latitude,28.3
Lamjung,Gandaki,Hill,Western,12/15/2009,Latitude,28.28
Lamjung,Gandaki,Hill,Western,5/13/2010,Latitude,28.3
Lamjung,Gandaki,Hill,Western,9/1/2010,Latitude,28.23
Lamjung,Gandaki,Hill,Western,8/18/2011,Latitude,28.21
Lamjung,Gandaki,Hill,Western,12/23/2008,Longitude,84.39
Lamjung,Gandaki,Hill,Western,3/12/2009,Longitude,84.42
Lamjung,Gandaki,Hill,Western,4/13/2009,Longitude,84.54
Lamjung,Gandaki,Hill,Western,4/13/2009,Longitude,84.55
Lamjung,Gandaki,Hill,Western,12/15/2009,Longitude,84.4
Lamjung,Gandaki,Hill,Western,5/13/2010,Longitude,84.51
Lamjung,Gandaki,Hill,Western,9/1/2010,Longitude,84.37
Lamjung,Gandaki,Hill,Western,8/18/2011,Longitude,84.31
Lamjung,Gandaki,Hill,Western,12/23/2008,Magnitude (ml),4.4
Lamjung,Gandaki,Hill,Western,3/12/2009,Magnitude (ml),4.1
Lamjung,Gandaki,Hill,Western,4/13/2009,Magnitude (ml),4.3
Lamjung,Gandaki,Hill,Western,4/13/2009,Magnitude (ml),4.0
Lamjung,Gandaki,Hill,Western,12/15/2009,Magnitude (ml),4.1
Lamjung,Gandaki,Hill,Western,5/13/2010,Magnitude (ml),4.2
Lamjung,Gandaki,Hill,Western,9/1/2010,Magnitude (ml),4.0
Lamjung,Gandaki,Hill,Western,8/18/2011,Magnitude (ml),4.0
Mahottari,Janakpur,Terai,Central,11/30/2010,Latitude,26.93
Mahottari,Janakpur,Terai,Central,11/30/2010,Longitude,85.79
Mahottari,Janakpur,Terai,Central,11/30/2010,Magnitude (ml),4.4
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Latitude,29.68
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Latitude,29.56
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Longitude,82.0
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Longitude,82.0
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Magnitude (ml),4.4
Mugu,Karnali,Mountain,Mid-Western,5/14/2013,Magnitude (ml),4.3
North East Jajarkot,,,,12/4/2012,Latitude,28.88
North East Jajarkot,,,,12/4/2012,Longitude,82.34
North East Jajarkot,,,,12/4/2012,Magnitude (ml),4.0
Northen Bajhang,,,,4/28/2013,Latitude,29.87
Northen Bajhang,,,,4/28/2013,Longitude,81.26
Northen Bajhang,,,,4/28/2013,Magnitude (ml),4.9
Northen Khotang,,,,6/9/2013,Latitude,27.31
Northen Khotang,,,,6/9/2013,Longitude,86.7
Northen Khotang,,,,6/9/2013,Magnitude (ml),4.2
Norther part of Bajura,,,,1/9/2013,Latitude,29.82
Norther part of Bajura,,,,1/9/2013,Longitude,81.7
Norther part of Bajura,,,,1/9/2013,Magnitude (ml),5.5
Northern Bajura ,,,,5/31/2013,Latitude,29.74
Northern Bajura ,,,,5/31/2013,Longitude,81.6
Northern Bajura ,,,,5/31/2013,Magnitude (ml),4.5
Northern Rolpa,,,,8/29/2012,Latitude,28.4
Northern Rolpa,,,,8/29/2012,Longitude,82.79
Northern Rolpa,,,,8/29/2012,Magnitude (ml),4.3
Nothern Taplejung,,,,8/6/2012,Latitude,27.77
Nothern Taplejung,,,,8/6/2012,Longitude,88.13
Nothern Taplejung,,,,8/6/2012,Magnitude (ml),4.2
Okhaldhunga,Sagarmatha,Hill,Eastern,1/15/2008,Latitude,27.37
Okhaldhunga,Sagarmatha,Hill,Eastern,1/15/2008,Longitude,86.53
Okhaldhunga,Sagarmatha,Hill,Eastern,1/15/2008,Magnitude (ml),4.1
Panchthar,Mechi,Hill,Eastern,2/5/2012,Latitude,27.25
Panchthar,Mechi,Hill,Eastern,2/5/2012,Longitude,88.07
Panchthar,Mechi,Hill,Eastern,2/5/2012,Magnitude (ml),4.0
Panchthar- Sikkim border,,,,6/11/2012,Latitude,27.25
Panchthar- Sikkim border,,,,7/1/2012,Latitude,27.27
Panchthar- Sikkim border,,,,6/11/2012,Longitude,88.0
Panchthar- Sikkim border,,,,7/1/2012,Longitude,88.05
Panchthar- Sikkim border,,,,6/11/2012,Magnitude (ml),4.5
Panchthar- Sikkim border,,,,7/1/2012,Magnitude (ml),4.0
Parbat,Dhawalagiri,Hill,Western,11/4/2011,Latitude,28.34
Parbat,Dhawalagiri,Hill,Western,11/4/2011,Longitude,83.66
Parbat,Dhawalagiri,Hill,Western,11/4/2011,Magnitude (ml),4.0
Pyuthan,Rapti,Hill,Mid-Western,3/22/2011,Latitude,28.11
Pyuthan,Rapti,Hill,Mid-Western,12/8/2011,Latitude,27.97
Pyuthan,Rapti,Hill,Mid-Western,3/22/2011,Longitude,82.74
Pyuthan,Rapti,Hill,Mid-Western,12/8/2011,Longitude,82.86
Pyuthan,Rapti,Hill,Mid-Western,3/22/2011,Magnitude (ml),4.2
Pyuthan,Rapti,Hill,Mid-Western,12/8/2011,Magnitude (ml),4.0
Ramechhap,Janakpur,Hill,Central,8/15/2011,Latitude,27.44
Ramechhap,Janakpur,Hill,Central,8/15/2011,Longitude,86.27
Ramechhap,Janakpur,Hill,Central,8/15/2011,Magnitude (ml),5.0
Rasuwa,Bagmati,Mountain,Central,12/1/2008,Latitude,28.18
Rasuwa,Bagmati,Mountain,Central,8/2/2009,Latitude,28.12
Rasuwa,Bagmati,Mountain,Central,3/10/2011,Latitude,28.02
Rasuwa,Bagmati,Mountain,Central,12/2/2011,Latitude,28.05
Rasuwa,Bagmati,Mountain,Central,12/1/2008,Longitude,85.29
Rasuwa,Bagmati,Mountain,Central,8/2/2009,Longitude,85.18
Rasuwa,Bagmati,Mountain,Central,3/10/2011,Longitude,85.24
Rasuwa,Bagmati,Mountain,Central,12/2/2011,Longitude,85.34
Rasuwa,Bagmati,Mountain,Central,12/1/2008,Magnitude (ml),4.8
Rasuwa,Bagmati,Mountain,Central,8/2/2009,Magnitude (ml),4.0
Rasuwa,Bagmati,Mountain,Central,3/10/2011,Magnitude (ml),4.3
Rasuwa,Bagmati,Mountain,Central,12/2/2011,Magnitude (ml),4.2
Rolpa,Rapti,Hill,Mid-Western,8/24/2012,Latitude,28.38
Rolpa,Rapti,Hill,Mid-Western,8/24/2012,Longitude,82.66
Rolpa,Rapti,Hill,Mid-Western,8/24/2012,Magnitude (ml),4.4
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Latitude,28.4
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Latitude,28.41
Rolpa,Rapti,Hill,Mid-Western,8/25/2011,Latitude,28.15
Rolpa,Rapti,Hill,Mid-Western,8/23/2012,Latitude,28.39
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Longitude,82.55
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Longitude,82.66
Rolpa,Rapti,Hill,Mid-Western,8/25/2011,Longitude,82.53
Rolpa,Rapti,Hill,Mid-Western,8/23/2012,Longitude,82.73
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Magnitude (ml),4.1
Rolpa,Rapti,Hill,Mid-Western,6/11/2011,Magnitude (ml),4.2
Rolpa,Rapti,Hill,Mid-Western,8/25/2011,Magnitude (ml),4.4
Rolpa,Rapti,Hill,Mid-Western,8/23/2012,Magnitude (ml),4.4
Rolpa and Pyuthan border,,,,12/22/2012,Latitude,28.27
Rolpa and Pyuthan border,,,,12/22/2012,Longitude,82.84
Rolpa and Pyuthan border,,,,12/22/2012,Magnitude (ml),4.5
Rolpa-Rukum boarder region,,,,8/23/2012,Latitude,28.38
Rolpa-Rukum boarder region,,,,8/24/2012,Latitude,28.42
Rolpa-Rukum boarder region,,,,8/23/2012,Longitude,82.84
Rolpa-Rukum boarder region,,,,8/24/2012,Longitude,82.75
Rolpa-Rukum boarder region,,,,8/23/2012,Magnitude (ml),5.6
Rolpa-Rukum boarder region,,,,8/24/2012,Magnitude (ml),5.2
Rukum,Rapti,Hill,Mid-Western,10/29/2009,Latitude,28.73
Rukum,Rapti,Hill,Mid-Western,3/6/2013,Latitude,28.57
Rukum,Rapti,Hill,Mid-Western,6/28/2013,Latitude,28.76
Rukum,Rapti,Hill,Mid-Western,10/29/2009,Longitude,83.11
Rukum,Rapti,Hill,Mid-Western,3/6/2013,Longitude,82.27
Rukum,Rapti,Hill,Mid-Western,6/28/2013,Longitude,82.4
Rukum,Rapti,Hill,Mid-Western,10/29/2009,Magnitude (ml),4.1
Rukum,Rapti,Hill,Mid-Western,3/6/2013,Magnitude (ml),5.4
Rukum,Rapti,Hill,Mid-Western,6/28/2013,Magnitude (ml),5.5
Salyan,Rapti,Hill,Mid-Western,11/25/2010,Latitude,28.38
Salyan,Rapti,Hill,Mid-Western,4/17/2012,Latitude,28.5
Salyan,Rapti,Hill,Mid-Western,11/25/2010,Longitude,82.32
Salyan,Rapti,Hill,Mid-Western,4/17/2012,Longitude,82.06
Salyan,Rapti,Hill,Mid-Western,11/25/2010,Magnitude (ml),4.5
Salyan,Rapti,Hill,Mid-Western,4/17/2012,Magnitude (ml),4.2
Sankhuwasabha,Kosi,Mountain,Eastern,2/22/2011,Latitude,27.57
Sankhuwasabha,Kosi,Mountain,Eastern,6/18/2011,Latitude,27.83
Sankhuwasabha,Kosi,Mountain,Eastern,7/15/2011,Latitude,27.28
Sankhuwasabha,Kosi,Mountain,Eastern,2/22/2011,Longitude,87.01
Sankhuwasabha,Kosi,Mountain,Eastern,6/18/2011,Longitude,87.35
Sankhuwasabha,Kosi,Mountain,Eastern,7/15/2011,Longitude,87.3
Sankhuwasabha,Kosi,Mountain,Eastern,2/22/2011,Magnitude (ml),4.2
Sankhuwasabha,Kosi,Mountain,Eastern,6/18/2011,Magnitude (ml),4.3
Sankhuwasabha,Kosi,Mountain,Eastern,7/15/2011,Magnitude (ml),4.5
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Latitude,27.43
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Latitude,27.48
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Longitude,87.35
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Longitude,87.36
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Magnitude (ml),4.2
Sankhuwasabha,Kosi,Mountain,Eastern,5/14/2009,Magnitude (ml),4.6
Sankhuwasabha,Kosi,Mountain,Eastern,10/28/2013,Latitude,27.36
Sankhuwasabha,Kosi,Mountain,Eastern,10/28/2013,Longitude,87.37
Sankhuwasabha,Kosi,Mountain,Eastern,10/28/2013,Magnitude (ml),4.3
Sikkim,,,,10/3/2013,Latitude,27.14
Sikkim,,,,10/3/2013,Longitude,88.51
Sikkim,,,,10/3/2013,Magnitude (ml),5.7
Sindhupalchok,Bagmati,Mountain,Central,6/2/2008,Latitude,27.8
Sindhupalchok,Bagmati,Mountain,Central,6/20/2008,Latitude,27.98
Sindhupalchok,Bagmati,Mountain,Central,1/18/2011,Latitude,27.8
